File,Date,Time,Image quality,Location,Session,DateStart,Classifier,CommentsImages,ColourMarkings,EventStart,EventEnd,Duration,Species,JumpoutUse,ParksStaff,DirectionTravel,Total,Horses,DogsOnLeash,DogsOffLeash,AdultFemale,AdultMale,AdultUnknown,Subadult,YLY,YOY,Folder
M0000404.JPG,06-Jul-12,7:26 AM,Ok,Cell 10 NE 2011/12,7,5-Jul-12,NH,,,,,,Marten,None,No,,1,,,,,,,,,,Cell 10 NE_Session 1_4-Jul-12 to 8-Aug-12
M0001504.JPG,06-Jul-12,5:38 PM,Ok,Cell 10 NE 2011/12,7,5-Jul-12,NH,,,,,,Mule Deer,None,No,,1,,,,,,,,,,Cell 10 NE_Session 1_4-Jul-12 to 8-Aug-12
M0002104.JPG,06-Jul-12,10:24 PM,Ok,Cell 10 NE 2011/12,7,5-Jul-12,NH,,,,,,Red Squirrel,None,No,,1,,,,,,,,,,Cell 10 NE_Session 1_4-Jul-12 to 8-Aug-12
M0000101.JPG,04-Jul-12,11:33 PM,Ok,Cell 10 NE 2011/12,7,5-Jul-12,NH,,,,,,Snowshoe Hare,None,No,,1,,,,,,,,,,Cell 10 NE_Session 1_4-Jul-12 to 8-Aug-12
M0002904.JPG,17-Aug-12,10:56 AM,Ok,Cell 10 NE 2011/12,8,9-Aug-12,Code,Images 402 to 5902. Extensive rubbing - on tree and on ground around tree.,"B&W - Appears light coloured, shaggy fur.",10:54:22,10:58:01,0:03:39,Grizzly Bear,None,No,,1,,,,1,,,,,,Cell 10 NE_S2_09-Aug-12 to 12-Sep-12_Done
M0007402.JPG,17-Aug-12,11:43 AM,Ok,Cell 10 NE 2011/12,8,9-Aug-12,Code,"Images 6001 to 8005. Investigates site and vicinity, rests at base of tree. No attempt to jump up at marked tree.",,11:32:35,11:48:17,0:15:42,Lynx,None,No,,1,,,,,,1,,,,Cell 10 NE_S2_09-Aug-12 to 12-Sep-12_Done
M0009402.JPG,17-Aug-12,5:09 PM,Ok,Cell 10 NE 2011/12,8,9-Aug-12,Code,,,17:08:14,17:10:45,0:02:31,Cougar,None,No,,1,,,,,,1,,,,Cell 10 NE_S2_09-Aug-12 to 12-Sep-12_Done
M0010304.JPG,22-Aug-12,7:50 PM,Ok,Cell 10 NE 2011/12,8,9-Aug-12,Code,,,,,,Red Squirrel,None,No,,1,,,,,,1,,,,Cell 10 NE_S2_09-Aug-12 to 12-Sep-12_Done
M0010802.JPG,25-Aug-12,1:32 PM,Ok,Cell 10 NE 2011/12,8,9-Aug-12,Code,,,,,,Marten,None,No,,1,,,,,,1,,,,Cell 10 NE_S2_09-Aug-12 to 12-Sep-12_Done
M0012703.JPG,05-Sep-12,9:05 AM,Ok,Cell 10 NE 2011/12,8,9-Aug-12,Code,,,,,,Marten,None,No,,1,,,,,,1,,,,Cell 10 NE_S2_09-Aug-12 to 12-Sep-12_Done
M0013302.JPG,07-Sep-12,8:38 PM,Ok,Cell 10 NE 2011/12,8,9-Aug-12,Code,,,,,,Marten,None,No,,1,,,,,,1,,,,Cell 10 NE_S2_09-Aug-12 to 12-Sep-12_Done
M0013405.JPG,12-Sep-12,2:00 PM,Ok,Cell 10 NE 2011/12,8,9-Aug-12,Code,,,,,,Marten,None,No,,1,,,,,,1,,,,Cell 10 NE_S2_09-Aug-12 to 12-Sep-12_Done
M0014503.JPG,12-Sep-12,2:31 PM,Ok,Cell 10 NE 2011/12,8,9-Aug-12,Code,,,,,,Hiker,None,Yes,,1,,1,,,,,,,,Cell 10 NE_S2_09-Aug-12 to 12-Sep-12_Done
M0000204.JPG,13-Sep-12,4:47 PM,Ok,Cell 10 NE 2011/12,9,12-Sep-12,Code,,,,,,Marten,None,No,,1,,,,,,1,,,,Cell 10 NE_S3_12-Sep-12 to 12-Oct-12
M0001201.JPG,12-Oct-12,12:31 PM,Ok,Cell 10 NE 2011/12,9,12-Sep-12,Code,,,,,,Hiker,None,Yes,,1,,,,,,,,,,Cell 10 NE_S3_12-Sep-12 to 12-Oct-12
M0000202.JPG,28-Oct-12,3:41 PM,Ok,Cell 10 NE 2011/12,10,12-Oct-12,Code,,,,,,Marten,None,No,,1,,,,,,1,,,,Cell 10 NE_S4_12-Oct-12 to 14-Nov-12
M0000602.JPG,30-Oct-12,11:40 PM,Ok,Cell 10 NE 2011/12,10,12-Oct-12,Code,,,,,,Snowshoe Hare,None,No,,1,,,,,,1,,,,Cell 10 NE_S4_12-Oct-12 to 14-Nov-12
M0000805.JPG,02-Nov-12,10:26 AM,Ok,Cell 10 NE 2011/12,10,12-Oct-12,Code,,,,,,Marten,None,No,,1,,,,,,1,,,,Cell 10 NE_S4_12-Oct-12 to 14-Nov-12
M0001102.JPG,14-Nov-12,1:19 PM,Ok,Cell 10 NE 2011/12,10,12-Oct-12,Code,,,,,,Hiker,None,Yes,,1,,,,,,,,,,Cell 10 NE_S4_12-Oct-12 to 14-Nov-12
IMG_0017.JPG,26-Nov-12,6:46 PM,Ok,Cell 10 NE 2011/12,11,14-Nov-12,Code,,,,,,Snowshoe Hare,None,No,,1,,,,,,1,,,,Cell 10 NE_S5_14-Nov-12 to 13-Dec-12
IMG_0044.JPG,13-Dec-12,2:31 PM,Ok,Cell 10 NE 2011/12,11,14-Nov-12,Code,,,,,,Hiker,None,Yes,,1,,,,,,,,,,Cell 10 NE_S5_14-Nov-12 to 13-Dec-12
M0000401.JPG,06-Jul-12,1:26 PM,Ok,Cell 10 NW 2011/12,7,6-Jul-12,NH,sow w one cub,,,,,Black Bear,None,No,,2,,,,1,,,,,1,Cell 10 NW_Session 1_6-Jul-12 to 9-Aug-12
M0009601.JPG,12-Jul-12,8:54 PM,Ok,Cell 10 NW 2011/12,7,6-Jul-12,NH,,,,,,Elk,None,No,,1,,,,1,,,,,,Cell 10 NW_Session 1_6-Jul-12 to 9-Aug-12
