Dataset,Study Region,Project,Camera_Site,Othername,Easting,Northing
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 26 NW 2013,,621085,5626145
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 33 SW 2013,,621644,5609882
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 18 NW 2013,,622593,5638445
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 2 SW 2013,,623434,5653225
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 10 SE 2013,,627211,5643133
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 33 NE 2013,,627338,5618598
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 40 NE 2013,,627912,5609734
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 33 SE 2013,,627997,5611710
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 18 NE 2013,,628182,5636263
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 18 SSE 2013,,628242,5629823
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 26 NE 2013,,629294,5627586
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 18 SE 2013,,629330,5632086
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 2 NE 2013,,629644,5656240
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 3 NW 2013,,630890,5658090
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 34 NW 2013,,630895,5617055
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 27 NW 2013,,631018,5624695
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 11 SW 2013,,631079,5642024
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 19 NW 2013,,631594,5639577
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 41 NW 2013,,632113,5607716
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 34 N 2013,,633166,5618384
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 11 NW 2013,,633507,5648002
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 41 N 2013,,633936,5608447
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 34 SE 2013,,636559,5612449
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 3 NE 2013,,637623,5655689
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 28 2013,,641581,5625184
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 42 NW 2013,,642466,5607311
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 35 2013,,642726,5618033
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 4 2013,,645617,5653076
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 12 2013,,646431,5642517
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 47 2013,,647305,5598609
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 20 2013,,648281,5638275
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 29 2013,,651125,5628742
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 48 2013,,653057,5598673
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 21 2013,,653157,5630884
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 13 2013,,654490,5641421
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 5 2013,,656029,5654951
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 43 2013,,659661,5608204
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 6 2013,,659947,5658595
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 52 2013,,660033,5590029
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 14 2013,,660853,5646328
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 53 2013,,663092,5586613
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 44 2013,,663131,5610669
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 37 2013,,664402,5614618
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 22 2013,,665930,5635674
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 56 2013,,666331,5570398
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 59 2013,,666409,5566972
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 30 2013,,667937,5620637
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 49 2013,,668843,5599916
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 50 2013,,671373,5593532
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 23 2013,,671531,5636265
