"site","radius","Road_Hard Surface","Road_Vegetated Verge","Seismic line","Cut Blocks","Road_Trail (Vegetated)","Well Site","Reservoirs","Transmission Line","Pipeline","Rural (Residential_Industrial)","Other Disturbed Vegetation","Cultivation (Crop_Pasture/Bare Ground)","Borrow-Pits_Dugouts/Sumps","Canals","Industrial Site Rural","Road – Hard Surface","Road – Vegetated Verge","Rail – Hard Surface","Rail – Vegetated Verge","Mine Site","Rail_Hard Surface","Rail_Vegetated Verge","Urban","High Density Livestock Operation","Municipal (Water and Sewage)","dense_conifer","moderate_conifer","open_conifer","mixed","herb","snow_or_ice","shrub","barren","water","broadleaf","cloud_or_no_data","treed_wetland","agriculture","open_wetland","shadow_or_no_data","unknown","mean_ndvi_2008","mean_ndvi_2012","mean_tri"
"Cell R80",1000,0,0,0.05,0,0,0,8.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.84701547,28.36823159,8.905710068,0.802140913,3.396923425,3.007374237,3.953408786,0,10.69041901,0.02864789,0,0,0,0,0,0,7009.885246,6615.327869,2.528689805
"Cell R80",1250,0,0,0.07,0,0,0,12.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.08825811,25.17851609,8.382949884,0.515691549,4.520726016,8.145053982,2.530181623,0,11.62019862,0.018334649,0,0,0,0,0,0,6648.425532,6139.882979,2.87681323
"Cell R80",1500,0,0,0.09,0,0,0,14.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.97565407,23.40018273,8.597617028,0.381971863,6.250234608,11.19003716,1.84619734,0,12.34528767,0.012732395,0,0,0,0,0,0,6237.678832,5708.248175,3.063944078
"Cell R80",1750,0,0,0.15,0,0,0,16.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.25529238,20.8373714,7.794696668,0.280632389,7.403133977,13.45737659,1.356389882,0,14.60568085,0.009354413,0,0,0,0,0,0,6002.366667,5415.927778,3.100672474
"Cell R80",2000,0,0,0.17,0,0,0,17.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.23820318,19.0624567,7.135255737,0.214859173,7.787018509,14.90837005,1.038486004,0,17.60813372,0.007161972,0,0,0,0,0,0,5681.436975,5010.193277,3.208553495
"Cell R80",2250,0,0,0.17,0,0,0,17.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.25309145,17.77526225,6.737984348,0.169765273,8.690776908,16.07802899,0.862523198,0,20.42685584,0.005658842,0,0,0,0,0,0,5502.931741,4994.249147,3.211387302
"Cell R80",2500,0,0,0.19,0,0,0,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.90149861,17.49695875,6.755541954,0.137509871,9.503216722,17.18160744,1.242232772,0,21.77679845,0.004583662,0,0,0,0,0,0,5348.307902,4939.452316,3.275486149
"Cell R80",2750,0,0,0.18,0,0,0,18.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.06204204,16.3948004,6.494897131,0.113644521,10.53120619,17.40596634,1.236214935,0,23.75739188,0.003788151,0,0,0,0,0,0,5248.96347,4944.810502,3.361217077
"Cell R80",3000,0,0,0.17,0,0,0,17.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.44657445,16.97602827,6.553772159,0.14229337,11.30825545,17.14550683,1.212411171,0,24.1795305,0.035579679,0,0,0,0,0,0,5198.395833,4980.501894,3.450750566
"Cell R80",3250,0,0,0.16,0,0,0,17.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.57826829,18.32338011,6.782230942,0.147736779,11.91680713,16.73369448,1.314770734,0,24.16238777,0.040683394,0,0,0,0,0,0,5175.702093,5031.275362,3.615845852
