"Site","Easting","Northing","start_date","end_date"
"Cell 12 2013",646431,5642517,2012-02-17,"2012-03-02"
"Cell 12 2013",646431,5642517,2013-04-19,"2013-05-09"
"Cell 12 2013",646431,5642517,2013-05-09,"2013-06-05"
"Cell 12 2013",646431,5642517,2013-06-05,"2013-07-03"
"Cell 12 2013",646431,5642517,2013-07-03,"2013-08-09"
"Cell 12 2013",646431,5642517,2013-08-09,"2013-09-08"
"Cell 12 2013",646431,5642517,2013-09-08,"2013-10-23"
"Cell 12 2013",646431,5642517,2013-10-23,"2013-12-09"
"Cell 12 2013",646431,5642517,2013-12-09,"2014-05-22"
"Cell 12 2013",646431,5642517,2012-07-26,"2012-09-06"
"Cell 12 2013",646431,5642517,2012-06-29,"2012-07-24"
"Cell 12 2013",646431,5642517,2012-05-29,"2012-06-17"
"Cell 12 2013",646431,5642517,2012-10-05,"2012-10-07"
"Cell 12 2013",646431,5642517,2012-09-06,"2012-10-05"
"Cell 13 2013",654490,5641421,2013-04-05,"2013-05-01"
"Cell 13 2013",654490,5641421,2013-05-01,"2013-06-06"
"Cell 13 2013",654490,5641421,2013-06-06,"2013-08-06"
"Cell 13 2013",654490,5641421,2013-08-06,"2013-09-08"
"Cell 13 2013",654490,5641421,2013-09-08,"2013-10-23"
"Cell 13 2013",654490,5641421,2013-10-23,"2013-11-28"
"Cell 13 2013",654490,5641421,2013-11-28,"2014-06-20"
"Cell 15 2013",674560,5642460,2012-03-14,"2012-04-18"
"Cell 15 2013",674560,5642460,2012-04-20,"2012-05-28"
"Cell 15 2013",674560,5642460,2013-04-29,"2013-06-06"
"Cell 15 2013",674560,5642460,2013-06-06,"2013-08-16"
"Cell 15 2013",674560,5642460,2013-08-16,"2013-11-16"
"Cell 15 2013",674560,5642460,2012-08-21,"2012-09-25"
"Cell 15 2013",674560,5642460,2012-09-25,"2012-10-14"
"Cell 15 2013",674560,5642460,2012-07-05,"2012-07-22"
"Cell 15 2013",674560,5642460,2012-06-06,"2012-06-16"
"Cell 15 2013",674560,5642460,2011-12-09,"2012-01-05"
"Cell 15 2013",674560,5642460,2012-02-09,"2012-02-15"
"Cell 15 2013",674560,5642460,2012-01-09,"2012-02-04"
"Cell 16 2013",681636,5640470,2013-05-03,"2013-06-27"
"Cell 16 2013",681636,5640470,2013-06-27,"2013-07-30"
"Cell 16 2013",681636,5640470,2013-07-30,"2013-09-04"
"Cell 16 2013",681636,5640470,2013-09-04,"2013-10-24"
"Cell 16 2013",681636,5640470,2013-10-24,"2013-12-12"
"Cell 18 2011/12",641923,5619045,2012-09-24,"2013-01-29"
"Cell 18 2011/12",641923,5619045,2012-02-29,"2012-03-09"
"Cell 18 2011/12",641923,5619045,2012-05-29,"2012-07-08"
"Cell 18 2011/12",641923,5619045,2012-01-31,"2012-02-08"
"Cell 18 2011/12",641923,5619045,2012-08-09,"2012-09-24"
"Cell 18 NE 2013",628182,5636263,2013-04-03,"2013-05-06"
"Cell 18 NE 2013",628182,5636263,2013-05-06,"2013-06-07"
"Cell 18 NE 2013",628182,5636263,2013-06-07,"2013-08-07"
"Cell 18 NE 2013",628182,5636263,2013-08-07,"2013-09-03"
"Cell 18 NE 2013",628182,5636263,2013-09-03,"2013-10-04"
"Cell 18 NE 2013",628182,5636263,2013-10-04,"2013-11-07"
"Cell 18 NE 2013",628182,5636263,2013-12-10,"2014-01-06"
"Cell 18 NE 2013",628182,5636263,2014-01-06,"2014-02-04"
"Cell 18 NE 2013",628182,5636263,2014-02-04,"2014-03-07"
"Cell 18 NE 2013",628182,5636263,2014-03-07,"2014-03-08"
"Cell 18 NE 2013",628182,5636263,2014-04-08,"2014-05-06"
"Cell 18 NE 2013",628182,5636263,2014-05-06,"2014-06-06"
"Cell 18 SSE 2013",628242,5629823,2013-04-24,"2013-05-21"
"Cell 18 SSE 2013",628242,5629823,2013-05-21,"2013-07-25"
"Cell 18 SSE 2013",628242,5629823,2013-07-25,"2013-08-22"
"Cell 18 SSE 2013",628242,5629823,2013-08-22,"2013-09-19"
"Cell 18 SSE 2013",628242,5629823,2013-09-19,"2013-10-09"
"Cell 18 SSE 2013",628242,5629823,2013-10-09,"2013-11-05"
"Cell 18 SSE 2013",628242,5629823,2013-11-05,"2013-12-11"
"Cell 18 SSE 2013",628242,5629823,2013-12-11,"2014-01-07"
"Cell 18 SSE 2013",628242,5629823,2014-01-07,"2014-02-05"
"Cell 18 SSE 2013",628242,5629823,2014-02-05,"2014-03-05"
"Cell 18 SSE 2013",628242,5629823,2014-03-05,"2014-04-07"
"Cell 18 SSE 2013",628242,5629823,2014-05-01,"2014-06-05"
"Cell 2 2011/12",634268,5647155,2012-01-12,"2012-02-19"
"Cell 2 2011/12",634268,5647155,2012-06-13,"2012-06-28"
"Cell 2 2011/12",634268,5647155,2012-08-15,"2012-09-16"
"Cell 2 2011/12",634268,5647155,2012-10-19,"2012-11-20"
"Cell 2 2011/12",634268,5647155,2012-09-19,"2012-10-07"
"Cell 2 2011/12",634268,5647155,2012-07-20,"2012-08-10"
"Cell 2 2011/12",634268,5647155,2012-11-20,"2012-12-27"
"Cell 2 2011/12",634268,5647155,2013-02-16,"2013-03-27"
"Cell 2 2011/12",634268,5647155,2012-04-21,"2012-06-07"
"Cell 2 2011/12",634268,5647155,2012-03-22,"2012-04-17"
"Cell 2 2011/12",634268,5647155,2011-12-23,"2012-01-06"
"Cell 2 2011/12",634268,5647155,2012-02-24,"2012-03-20"
"Cell 2 NE 2013",629644,5656240,2013-04-22,"2013-05-15"
"Cell 2 NE 2013",629644,5656240,2013-05-15,"2013-05-31"
"Cell 22 2013",665930,5635674,2013-04-02,"2013-05-06"
"Cell 22 2013",665930,5635674,2013-05-06,"2013-07-03"
"Cell 22 2013",665930,5635674,2013-07-03,"2013-08-09"
"Cell 22 2013",665930,5635674,2013-08-09,"2013-09-13"
"Cell 22 2013",665930,5635674,2013-09-13,"2013-10-23"
"Cell 22 2013",665930,5635674,2013-10-23,"2013-11-28"
"Cell 22 2013",665930,5635674,2013-11-28,"2014-05-17"
"Cell 3 NE 2013",637623,5655689,2013-04-22,"2013-05-15"
"Cell 3 NE 2013",637623,5655689,2013-05-15,"2013-06-19"
"Cell 3 NE 2013",637623,5655689,2013-06-19,"2013-07-10"
"Cell 3 NE 2013",637623,5655689,2013-07-10,"2013-08-08"
"Cell 3 NE 2013",637623,5655689,2013-08-08,"2013-09-12"
"Cell 3 NE 2013",637623,5655689,2013-09-12,"2013-10-04"
"Cell 3 NE 2013",637623,5655689,2013-10-04,"2013-11-05"
"Cell 3 NE 2013",637623,5655689,2013-11-05,"2013-12-16"
"Cell 3 NE 2013",637623,5655689,2013-12-16,"2014-01-22"
"Cell 3 NE 2013",637623,5655689,2014-01-22,"2014-02-27"
"Cell 3 NE 2013",637623,5655689,2014-02-27,"2014-03-27"
"Cell 3 NE 2013",637623,5655689,2014-03-27,"2014-04-29"
"Cell 3 NE 2013",637623,5655689,2014-04-29,"2014-05-30"
"Cell 34 N 2013",633166,5618384,2013-04-05,"2013-05-08"
"Cell 34 N 2013",633166,5618384,2013-05-08,"2013-06-06"
"Cell 34 N 2013",633166,5618384,2013-06-06,"2013-07-12"
"Cell 34 N 2013",633166,5618384,2013-07-12,"2013-08-06"
"Cell 34 N 2013",633166,5618384,2013-08-06,"2013-09-09"
"Cell 34 N 2013",633166,5618384,2013-09-09,"2013-10-04"
"Cell 34 N 2013",633166,5618384,2013-10-04,"2013-11-07"
"Cell 34 N 2013",633166,5618384,2013-11-07,"2013-12-20"
"Cell 34 N 2013",633166,5618384,2013-12-20,"2014-01-21"
"Cell 34 N 2013",633166,5618384,2014-01-21,"2014-02-26"
"Cell 34 N 2013",633166,5618384,2014-02-26,"2014-04-23"
"Cell 34 N 2013",633166,5618384,2014-04-23,"2014-05-27"
"Cell 41 N 2013",633936,5608447,2013-04-03,"2013-05-08"
"Cell 41 N 2013",633936,5608447,2013-05-08,"2013-06-06"
"Cell 41 N 2013",633936,5608447,2013-06-06,"2013-07-12"
"Cell 41 N 2013",633936,5608447,2013-07-12,"2013-08-06"
"Cell 41 N 2013",633936,5608447,2013-08-06,"2013-09-09"
"Cell 41 N 2013",633936,5608447,2013-09-09,"2013-10-01"
"Cell 41 N 2013",633936,5608447,2013-10-01,"2013-11-07"
"Cell 41 N 2013",633936,5608447,2013-11-07,"2013-12-04"
"Cell 41 N 2013",633936,5608447,2013-12-04,"2014-01-21"
"Cell 41 N 2013",633936,5608447,2014-01-21,"2014-02-26"
"Cell 41 N 2013",633936,5608447,2014-02-26,"2014-04-23"
"Cell 41 N 2013",633936,5608447,2014-04-23,"2014-05-27"
"Cell 41 N 2013",633936,5608447,2014-05-27,"2014-06-12"
"Cell 41 NW 2013",632113,5607716,2013-04-03,"2013-05-08"
"Cell 41 NW 2013",632113,5607716,2013-05-08,"2013-06-06"
"Cell 41 NW 2013",632113,5607716,2013-06-06,"2013-07-12"
"Cell 41 NW 2013",632113,5607716,2013-07-12,"2013-08-06"
"Cell 41 NW 2013",632113,5607716,2013-08-06,"2013-09-09"
"Cell 41 NW 2013",632113,5607716,2013-09-09,"2013-10-01"
"Cell 41 NW 2013",632113,5607716,2013-10-01,"2013-11-07"
"Cell 41 NW 2013",632113,5607716,2013-11-07,"2013-12-20"
"Cell 41 NW 2013",632113,5607716,2013-12-20,"2014-01-21"
"Cell 41 NW 2013",632113,5607716,2014-01-21,"2014-02-26"
