CAMERA,RADIUS,NCELLS,AREA,MIN,MAX,RANGE,MEAN,STD
32,5250,1623,87130576.47,1694,8797,7103,6936.850893,1186.51134
33,5250,1627,87345316.03,6135,9347,3212,7461.287646,439.9295575
34,5250,1625,87237946.25,2390,8364,5974,7072.734154,760.6404747
10A,5250,1626,87291631.14,-268,9915,10183,5536.933579,2606.36085
10NE,5250,1624,87184261.36,-195,9915,10110,5545.948892,2725.617376
10NW,5250,1626,87291631.14,-1428,9522,10950,6009.354244,2536.657838
10SW,5250,1631,87560055.59,-779,9915,10694,5431.459841,2664.863354
11NE,5250,1623,87130576.47,-195,9328,9523,6386.49353,2146.136037
11NW,5250,1622,87076891.58,-195,9388,9583,5377.915536,2597.542484
11SE,5250,1624,87184261.36,900,9388,8488,5790.982143,2239.020943
17NW,5250,1624,87184261.36,258,9971,9713,6385.601601,2166.120139
17SE,5250,1625,87237946.25,-782,9509,10291,6276.432615,2152.523236
17SW,5250,1631,87560055.59,-1894,9795,11689,5168.031882,2671.945238
22S,5250,1628,87399000.92,-1894,9795,11689,4593.974816,2728.482715
23S,5250,1632,87613740.48,1090,9773,8683,3827.172794,2189.053242
24S,5250,1628,87399000.92,1032,9336,8304,6763.707617,1951.676582
27A,5250,1625,87237946.25,1284,9694,8410,6859.619077,1868.991039
2A,5250,1624,87184261.36,1571,8957,7386,6300.160099,1705.131827
5NE,5250,1623,87130576.47,-1842,9827,11669,4570.884165,2426.158639
5NW,5250,1624,87184261.36,-1875,9827,11702,5252.485837,2467.739029
5SE,5250,1623,87130576.47,234,9784,9550,3934.297597,2460.774324
6NE,5250,1623,87130576.47,1665,9386,7721,6936.645102,1532.424878
6NW,5250,1622,87076891.58,771,9386,8615,5931.019112,2512.282318
6SW,5250,1623,87130576.47,530,9784,9254,6562.625385,2099.568193
Cell 1 2011/12,5250,1621,87023206.69,1187,9230,8043,7007.83467,1639.147294
Cell 1 SW 2013,5250,1624,87184261.36,-1970,9374,11344,5212.915025,2249.78741
Cell 10 2011/12,5250,1621,87023206.69,448,9915,9467,5728.927205,2543.628211
Cell 10 NE 2011/12,5250,1624,87184261.36,-195,9915,10110,5545.948892,2725.617376
Cell 10 NW 2011/12,5250,1626,87291631.14,-1428,9522,10950,6009.354244,2536.657838
Cell 10 SE 2013,5250,1622,87076891.58,771,9386,8615,5931.019112,2512.282318
Cell 10 SW 2011/12,5250,1631,87560055.59,-779,9915,10694,5431.459841,2664.863354
Cell 10-A 2011/12,5250,1626,87291631.14,-268,9915,10183,5536.933579,2606.36085
Cell 11 NE 2011/12,5250,1623,87130576.47,-195,9328,9523,6386.49353,2146.136037
Cell 11 NW 2013,5250,1622,87076891.58,1571,8837,7266,6308.228113,1683.406265
Cell 11 SW 2013,5250,1622,87076891.58,1421,9386,7965,6839.108508,1790.13348
Cell 12 2013,5250,1624,87184261.36,1418,9773,8355,6672.271552,1735.403811
Cell 13 2013,5250,1624,87184261.36,1422,8838,7416,6784.814655,1486.704878
Cell 14 2013,5250,1624,87184261.36,5511,8733,3222,8022.490764,391.2449341
Cell 15 2013,5250,1622,87076891.58,5348,8876,3528,7966.416153,484.7699723
Cell 15-A 2013,5250,1624,87184261.36,5452,8876,3424,7978.704433,445.8952293
Cell 16 2013,5250,1626,87291631.14,5452,8848,3396,8015.109471,411.88066
Cell 17 NW 2011/12,5250,1624,87184261.36,258,9971,9713,6385.601601,2166.120139
Cell 17 NW 2013,5250,1622,87076891.58,-1875,9827,11702,5878.800247,2296.257686
Cell 17 SE 2013,5250,1626,87291631.14,-1428,9522,10950,6011.95941,2536.326445
Cell 17 SW 2013,5250,1626,87291631.14,-1875,9245,11120,6430.282903,2100.807201
Cell 18 2011/12,5250,1624,87184261.36,854,9982,9128,4523.815271,2656.6804
Cell 18 NE 2013,5250,1624,87184261.36,1204,9784,8580,6588.721675,2081.40934
Cell 18 NW 2013,5250,1624,87184261.36,234,9784,9550,3936.394704,2442.090868
Cell 18 SE 2013,5250,1622,87076891.58,-195,9328,9523,6385.638101,2146.52088
Cell 18 SSE 2013,5250,1621,87023206.69,-195,9388,9583,5364.362122,2566.916086
Cell 19 NW 2013,5250,1623,87130576.47,1421,9386,7965,6706.958102,1909.335516
Cell 2 2011/12,5250,1624,87184261.36,1571,9110,7539,6198.719212,1708.322238
Cell 2 NE 2013,5250,1628,87399000.92,-2000,8957,10957,6353.728501,1750.816444
Cell 2 SW 2013,5250,1622,87076891.58,1187,9230,8043,7005.419236,1643.242683
Cell 20 2013,5250,1623,87130576.47,1465,9773,8308,6814.637092,1753.836564
Cell 21 2013,5250,1623,87130576.47,2159,9211,7052,7164.013555,1048.651657
Cell 22 2013,5250,1625,87237946.25,5418,8751,3333,7869.387692,335.1862415
Cell 23 2013,5250,1623,87130576.47,5514,8915,3401,8156.875539,367.6995737
Cell 24 2013,5250,1623,87130576.47,6616,8848,2232,8055.013555,378.1156719
Cell 25 NE 2013,5250,1621,87023206.69,448,9915,9467,5728.927205,2543.628211
Cell 25 SE 2013,5250,1630,87506370.7,-779,9915,10694,5430.106748,2665.120506
Cell 26 NE 2013,5250,1633,87667425.37,-195,9388,9583,5282.102878,2422.276435
Cell 26 NNW 2013,5250,1624,87184261.36,-195,9915,10110,5545.948892,2725.617376
Cell 26 NW 2013,5250,1626,87291631.14,-268,9915,10183,5536.933579,2606.36085
Cell 27 NW 2013,5250,1624,87184261.36,900,9388,8488,5790.982143,2239.020943
Cell 28 2013,5250,1632,87613740.48,700,9569,8869,4322.447304,2398.599703
Cell 29 2013,5250,1623,87130576.47,1506,9211,7705,6678.497227,1542.591219
Cell 3 NE 2013,5250,1623,87130576.47,-384,8813,9197,7247.241528,1042.87612
Cell 3 NW 2013,5250,1623,87130576.47,-2000,9096,11096,6545.438694,1658.485104
Cell 30 2013,5250,1626,87291631.14,6585,8772,2187,7982.358549,358.7606005
Cell 31 2013,5250,1631,87560055.59,5610,8932,3322,8193.611895,429.6686355
Cell 32 2013,5250,1628,87399000.92,5823,8982,3159,8224.985258,407.6953457
Cell 33 NE 2013,5250,1624,87184261.36,258,9971,9713,6385.601601,2166.120139
Cell 33 SE 2013,5250,1633,87667425.37,-1894,9795,11689,5169.805879,2670.789087
Cell 33 SW 2013,5250,1622,87076891.58,-506,9859,10365,4785.135635,2872.726938
Cell 34 N 2013,5250,1622,87076891.58,-471,9455,9926,6585.321208,1863.384498
Cell 34 NW 2013,5250,1624,87184261.36,-471,9942,10413,6753.901478,1701.828508
Cell 34 SE 2013,5250,1624,87184261.36,-782,9509,10291,6276.831281,2153.159615
Cell 35 2013,5250,1619,86915836.91,850,9982,9132,4564.250154,2679.318372
Cell 37 2013,5250,1623,87130576.47,5141,9288,4147,7725.269254,361.2256327
Cell 38 2013,5250,1630,87506370.7,6613,9040,2427,8225.166258,293.5458555
Cell 39 2013,5250,1624,87184261.36,6692,9040,2348,8344.668103,296.9150831
Cell 4 2013,5250,1626,87291631.14,4531,8716,4185,7493.98401,505.4355164
Cell 40 NE 2013,5250,1620,86969521.8,-1894,9795,11689,4675.514198,2744.905422
Cell 41 N 2013,5250,1629,87452685.81,-1894,9615,11509,6241.16329,2363.299003
Cell 41 NW 2013,5250,1621,87023206.69,-1894,9795,11689,5653.507711,2626.715608
Cell 42 NW 2013,5250,1627,87345316.03,-10,9874,9884,5010.665642,2705.5514
Cell 43 2013,5250,1634,87721110.26,1302,9341,8039,6130.213586,2088.246555
Cell 44 2013,5250,1628,87399000.92,4274,9288,5014,7522.175061,520.3262178
Cell 45 2013,5250,1625,87237946.25,6199,8547,2348,7789.596308,388.8574816
Cell 47 2013,5250,1622,87076891.58,784,9694,8910,6422.041307,2127.550348
Cell 48 2013,5250,1628,87399000.92,1032,9336,8304,6756.594595,1960.600674
Cell 49 2013,5250,1623,87130576.47,1418,9284,7866,6883.467652,1471.990753
Cell 5 2011/12 Summer,5250,1626,87291631.14,-1875,9245,11120,6430.282903,2100.807201
Cell 5 2013,5250,1624,87184261.36,4407,8830,4423,7898.525862,610.6963495
Cell 50 2013,5250,1629,87452685.81,1454,8711,7257,7356.747698,1162.855669
Cell 51 2013,5250,1635,87774795.15,6188,8935,2747,7967.981651,418.4503942
Cell 52 2013,5250,1626,87291631.14,1402,8549,7147,7281.708487,1410.575109
Cell 53 2013,5250,1628,87399000.92,1401,9014,7613,7221.92629,1303.123011
Cell 54 2013,5250,1625,87237946.25,5832,8961,3129,7982.104,558.3354346
Cell 55 2013,5250,1624,87184261.36,6068,8870,2802,7970.743227,532.2783784
Cell 56 2013,5250,1632,87613740.48,6135,9347,3212,7461.567402,442.1161932
Cell 57 2013,5250,1625,87237946.25,1694,8797,7103,6935.764923,1185.670272
Cell 58 2013,5250,1623,87130576.47,5938,8815,2877,8024.978435,421.1549697
Cell 59 2013,5250,1624,87184261.36,4674,9347,4673,7460.473522,427.7820699
Cell 6 2011/12,5250,1624,87184261.36,1470,9386,7916,6676.426108,1898.356752
Cell 6 2013,5250,1624,87184261.36,5628,8830,3202,8094.493227,397.5614399
Cell 6 NE 2011/12,5250,1623,87130576.47,1665,9386,7721,6936.645102,1532.424878
Cell 6 NW 2011/12,5250,1622,87076891.58,771,9386,8615,5931.019112,2512.282318
Cell 6 SW 2011/12,5250,1623,87130576.47,530,9784,9254,6562.625385,2099.568193
Cell 60 2013,5250,1629,87452685.81,2390,8373,5983,7073.055249,791.9433282
Cell 61 2013,5250,1625,87237946.25,3613,8831,5218,7556.802462,674.3370057
