CAMERA,RADIUS,NCELLS,AREA,MIN,MAX,RANGE,MEAN,STD
Cell R90,4250,557143,55714300,0,44.77639771,44.77639771,4.070962848,2.516883093
Cell R91,4250,566651,56665100,0,78.2747345,78.2747345,3.313669247,1.836448312
Cell R92,4250,566623,56662300,0.000640869,43.95404053,43.95339966,4.862800911,2.499497371
Cell R93,4250,566591,56659100,0.01109314,23.8387146,23.82762146,2.940774959,1.474554402
Cell R97,4250,491389,49138900,0,39.87738037,39.87738037,3.672512488,2.216298866
Cell R98,4250,566646,56664600,0,78.2747345,78.2747345,2.700762707,1.5837284
Cell R99,4250,566608,56660800,0.003143311,19.98205566,19.97891235,2.532347379,1.690955155
Cell S102,4250,566553,56655300,6.10352E-05,8.547637939,8.547576904,1.163501957,0.951714582
Cell S108,4250,566532,56653200,0,11.22441101,11.22441101,1.281381972,0.918422319
Cell S13,4250,566603,56660300,0,5.901290894,5.901290894,0.574712679,0.558985274
Cell S14,4250,566589,56658900,0,8.291366577,8.291366577,0.426227069,0.432890798
Cell S2,4250,566627,56662700,6.10352E-05,5.120544434,5.120483398,0.790894774,0.655113995
Cell S23,4250,566590,56659000,0,8.604019165,8.604019165,0.910351214,0.736112372
Cell S32,4250,566605,56660500,0,13.33770752,13.33770752,1.290376601,1.036562843
Cell S33,4250,566549,56654900,0,13.36700439,13.36700439,0.814669359,0.691414696
Cell S34,4250,566525,56652500,0,8.492736816,8.492736816,1.06700912,0.648103793
Cell S41,4250,566630,56663000,0.001647949,18.21037292,18.20872498,1.753238571,1.301770082
Cell S42,4250,566582,56658200,0,15.16029358,15.16029358,1.646055194,1.000673112
Cell S44,4250,566548,56654800,0,8.492736816,8.492736816,1.161123537,0.671432132
Cell S56,4250,566538,56653800,0,7.672515869,7.672515869,0.721021328,0.627983034
Cell S67,4250,566542,56654200,0,12.03979492,12.03979492,0.763960131,0.765356102
Cell S78,4250,566513,56651300,0,11.69126892,11.69126892,1.116523799,0.942748724
Cell S88,4250,566520,56652000,0,11.3026123,11.3026123,1.042176017,1.047572684
Cell S94,4250,566553,56655300,6.10352E-05,9.555389404,9.555328369,1.351845411,0.897944764
Cell S95,4250,566534,56653400,0,9.939376831,9.939376831,1.237627801,1.001380273
W287,4250,566791,56679100,0.000473022,90.14761353,90.1471405,5.260294805,3.33406045
W295,4250,566750,56675000,0.002624512,26.26724243,26.26461792,1.317249528,1.806354458
W338,4250,566824,56682400,0.015518188,38.97039795,38.95487976,4.345377861,2.613907479
W342,4250,566790,56679000,0.00163269,77.14952087,77.14788818,3.092184981,2.71390005
W345,4250,566744,56674400,0,7.167434692,7.167434692,0.999799923,0.744579287
W387,4250,566868,56686800,0,288.4854736,288.4854736,3.152297415,3.354530576
W393,4250,566815,56681500,0,41.66641235,41.66641235,2.841249158,2.13963199
W440,4250,566856,56685600,0,142.6781311,142.6781311,3.721849862,2.315887953
W441,4250,566847,56684700,0.003067017,17.66346741,17.66040039,2.14959099,1.507861548
W445,4250,566819,56681900,0.003173828,23.42004395,23.41687012,1.253595293,1.408513549
W500,4250,566839,56683900,0,27.48652649,27.48652649,2.961401763,2.383260377
1,4500,635425,63542500,0,36.07049561,36.07049561,3.17843786,2.414261461
10,4500,635451,63545100,0,25.23522949,25.23522949,3.783982285,2.784754909
10A,4500,635425,63542500,0,42.80111694,42.80111694,4.020883498,2.815993757
10NE,4500,635430,63543000,0,24.51837158,24.51837158,3.887249262,2.682910334
10NW,4500,635418,63541800,0,31.73910522,31.73910522,3.306835092,2.449627555
10SW,4500,635448,63544800,0,41.14385986,41.14385986,4.243205687,3.004775424
11,4500,635390,63539000,0,47.97770691,47.97770691,4.462199988,2.851799779
11NE,4500,635387,63538700,0,41.37335205,41.37335205,4.215087397,2.756370193
11NW,4500,635397,63539700,0,47.97770691,47.97770691,4.480946799,3.151617761
11SE,4500,635384,63538400,0,47.97770691,47.97770691,4.512389729,2.738706796
12,4500,635314,63531400,0,58.74359131,58.74359131,4.942158889,2.752155384
13,4500,635272,63527200,0,27.36763,27.36763,2.707849299,1.799198775
14,4500,635223,63522300,0.000457764,14.65290833,14.65245056,1.726521508,0.995030095
16,4500,500800,50080000,0,33.77294922,33.77294922,4.800652684,2.727374377
17,4500,635394,63539400,0,38.53897095,38.53897095,2.744009281,2.338376288
17NW,4500,635371,63537100,0,46.42706299,46.42706299,4.137169735,2.544802121
17SE,4500,635363,63536300,0,43.65084839,43.65084839,3.137987027,2.877278039
17SW,4500,635383,63538300,0,44.40478516,44.40478516,3.718241891,3.10668243
18,4500,635348,63534800,0,70.64035034,70.64035034,4.734829256,3.081340982
19,4500,635293,63529300,0.012710571,75.90997314,75.89726257,4.052902708,2.656510862
2,4500,635377,63537700,0,37.22325134,37.22325134,4.020536627,2.572451027
20,4500,635226,63522600,0.01020813,38.91838074,38.90817261,2.130198511,1.331226538
21,4500,635171,63517100,0.000198364,12.95585632,12.95565796,1.661380026,1.176254125
22,4500,635376,63537600,0,44.40478516,44.40478516,3.716302766,3.612165271
22S,4500,635376,63537600,0,44.40478516,44.40478516,3.809763177,3.469823152
23,4500,635341,63534100,0,79.26013184,79.26013184,4.994667806,3.034410252
23S,4500,635318,63531800,0.01550293,46.78118896,46.76568604,4.591332944,2.014717642
24,4500,635285,63528500,0,78.2747345,78.2747345,3.353116577,1.893054447
24S,4500,635296,63529600,0,78.2747345,78.2747345,3.362225035,1.901038984
25,4500,635226,63522600,0.01109314,23.8387146,23.82762146,2.897613152,1.524585478
26,4500,635189,63518900,0.005554199,17.36358643,17.35803223,1.859499878,1.151406738
27,4500,635244,63524400,0,78.2747345,78.2747345,2.741577779,1.603605538
27A,4500,483178,48317800,0,39.87738037,39.87738037,3.771038481,2.443237569
28,4500,635231,63523100,0,14.16714478,14.16714478,2.673024613,1.588032384
29,4500,635200,63520000,0.007751465,17.9304657,17.92271423,2.656005022,1.508639478
2A,4500,635352,63535200,0,44.39068604,44.39068604,3.922493712,2.62243993
3,4500,635323,63532300,0.008743286,23.84747314,23.83872986,2.678523223,1.23257024
31,4500,635233,63523300,0.000869751,22.94836426,22.94749451,2.359019903,1.318279047
32,4500,635179,63517900,0.008178711,18.16070557,18.15252686,3.118408825,1.670648835
33,4500,635217,63521700,0.008285522,18.55122375,18.54293823,2.092831939,1.187878535
34,4500,635189,63518900,0.02456665,18.55122375,18.5266571,2.756751294,1.320524185
4,4500,635298,63529800,0.009063721,17.13253784,17.12347412,2.771420638,1.374250878
5,4500,635450,63545000,0,35.94499207,35.94499207,2.297294271,2.240145929
5NE,4500,635449,63544900,0,47.67166138,47.67166138,4.074145121,3.361881807
5NW,4500,635459,63545900,0,42.16265869,42.16265869,3.320326686,3.021298613
5SE,4500,635426,63542600,0,50.66104126,50.66104126,5.442034536,3.275412121
6,4500,635375,63537500,0,39.61027527,39.61027527,3.176104327,2.450113552
6NE,4500,635363,63536300,0,41.77529907,41.77529907,3.181013076,2.485376512
6NW,4500,635382,63538200,0,51.70599365,51.70599365,4.069345282,3.209998648
6SW,4500,635395,63539500,0,39.44970703,39.44970703,4.291159152,3.137858295
7,4500,635312,63531200,0.013534546,37.51501465,37.5014801,2.796829803,1.594108842
8,4500,635264,63526400,0,67.47492981,67.47492981,3.340409745,1.646745677
9,4500,635219,63521900,0.003311157,15.87954712,15.87623596,1.473709823,1.058096694
Cell 1 2011/12,4500,635425,63542500,0,36.07049561,36.07049561,3.17843786,2.414261461
Cell 1 SW 2013,4500,635439,63543900,0,44.25393677,44.25393677,4.414144007,3.271466673
Cell 10-A 2011/12,4500,635425,63542500,0,42.80111694,42.80111694,4.020883498,2.815993757
Cell 10 2011/12,4500,635451,63545100,0,25.23522949,25.23522949,3.783982285,2.784754909
Cell 10 NE 2011/12,4500,635430,63543000,0,24.51837158,24.51837158,3.887249262,2.682910334
Cell 10 NW 2011/12,4500,635418,63541800,0,31.73910522,31.73910522,3.306835092,2.449627555
Cell 10 SE 2013,4500,635373,63537300,0,51.70599365,51.70599365,4.06858957,3.209910335
Cell 10 SW 2011/12,4500,635448,63544800,0,41.14385986,41.14385986,4.243205687,3.004775424
Cell 11 NE 2011/12,4500,635387,63538700,0,41.37335205,41.37335205,4.215087397,2.756370193
Cell 11 NW 2013,4500,635385,63538500,0,44.39068604,44.39068604,3.922593691,2.618796297
Cell 11 SW 2013,4500,635398,63539800,0,41.77529907,41.77529907,2.922689038,2.513609082
Cell 12 2013,4500,635307,63530700,0.013534546,37.51501465,37.5014801,2.795640296,1.595366866
Cell 13 2013,4500,635267,63526700,0,67.47492981,67.47492981,3.394257684,1.626237727
Cell 14 2013,4500,635238,63523800,0.002182007,11.6738739,11.67169189,1.501003776,1.011619876
Cell 15-A 2013,4500,635171,63517100,0,13.36700439,13.36700439,0.821950347,0.696880147
Cell 15 2013,4500,635185,63518500,0,13.36700439,13.36700439,0.705439692,0.681016757
Cell 16 2013,4500,635161,63516100,0,11.94136047,11.94136047,0.823536964,0.619237229
Cell 17 NW 2011/12,4500,635371,63537100,0,46.42706299,46.42706299,4.137169735,2.544802121
Cell 17 NW 2013,4500,635450,63545000,0,40.49505615,40.49505615,2.860611603,2.886517606
Cell 17 SE 2013,4500,635432,63543200,0,31.73910522,31.73910522,3.306961361,2.449779243
Cell 17 SW 2013,4500,635450,63545000,0,35.94499207,35.94499207,2.304268218,2.238494776
Cell 18 2011/12,4500,635348,63534800,0,70.64035034,70.64035034,4.734829256,3.081340982
Cell 18 NE 2013,4500,635384,63538400,0,39.44970703,39.44970703,4.276653717,3.181693926
Cell 18 NW 2013,4500,635403,63540300,0,50.66104126,50.66104126,5.437767072,3.278291257
Cell 18 SE 2013,4500,635398,63539800,0,41.37335205,41.37335205,4.215314536,2.756999148
Cell 18 SSE 2013,4500,635371,63537100,0,47.97770691,47.97770691,4.47989063,3.08200435
Cell 19 NW 2013,4500,635389,63538900,0,39.44970703,39.44970703,3.043334378,2.6157824
Cell 2 2011/12,4500,635377,63537700,0,37.22325134,37.22325134,4.020536627,2.572451027
Cell 2 NE 2013,4500,635397,63539700,0,33.04049683,33.04049683,3.863082479,2.813002679
Cell 2 SW 2013,4500,635405,63540500,0,36.07049561,36.07049561,3.181581935,2.416609444
Cell 20 2013,4500,635320,63532000,0,67.47492981,67.47492981,2.895280172,1.605454801
Cell 21 2013,4500,635273,63527300,0,25.16889954,25.16889954,2.364277236,1.524824089
Cell 22 2013,4500,635216,63521600,0.00718689,15.87954712,15.87236023,1.69325504,1.08472487
